[Epoch 1 | Batch 361] Total IL loss: 1.2657
[Epoch 1 | Batch 362] Total IL loss: 1.2565
[Epoch 1 | Batch 363] Total IL loss: 1.2206
[Epoch 1 | Batch 364] Total IL loss: 1.3343
[Epoch 1 | Batch 365] Total IL loss: 1.2163
[Epoch 1 | Batch 366] Total IL loss: 1.1671
[Epoch 1 | Batch 367] Total IL loss: 1.1752
[Epoch 1 | Batch 368] Total IL loss: 1.3509
[Epoch 1 | Batch 369] Total IL loss: 1.1313
[Epoch 1 | Batch 370] Total IL loss: 1.2636
[Epoch 1 | Batch 371] Total IL loss: 1.0389
[Epoch 1 | Batch 372] Total IL loss: 1.1548
[Epoch 1 | Batch 373] Total IL loss: 1.2577
[Epoch 1 | Batch 374] Total IL loss: 1.1950
[Epoch 1 | Batch 375] Total IL loss: 1.2690
[Epoch 1 | Batch 376] Total IL loss: 1.3336
[Epoch 1 | Batch 377] Total IL loss: 1.3106
[Epoch 1 | Batch 378] Total IL loss: 1.2292
[Epoch 1 | Batch 379] Total IL loss: 1.3067
[Epoch 1 | Batch 380] Total IL loss: 1.2246
[Epoch 1 | Batch 381] Total IL loss: 1.2249
[Epoch 1 | Batch 382] Total IL loss: 1.2894
[Epoch 1 | Batch 383] Total IL loss: 1.2362
[Epoch 1 | Batch 384] Total IL loss: 1.0757
[Epoch 1 | Batch 385] Total IL loss: 1.1253
[Epoch 1 | Batch 386] Total IL loss: 1.1887
[Epoch 1 | Batch 387] Total IL loss: 1.2320
[Epoch 1 | Batch 388] Total IL loss: 1.3234
[Epoch 1 | Batch 389] Total IL loss: 1.1345
[Epoch 1 | Batch 390] Total IL loss: 1.3433
[Epoch 1 | Batch 391] Total IL loss: 1.0565
[Epoch 1 | Batch 392] Total IL loss: 1.2399
[Epoch 1 | Batch 393] Total IL loss: 1.1545
[Epoch 1 | Batch 394] Total IL loss: 1.1936
[Epoch 1 | Batch 395] Total IL loss: 1.2198
[Epoch 1 | Batch 396] Total IL loss: 1.2430
[Epoch 1 | Batch 397] Total IL loss: 1.1545
[Epoch 1 | Batch 398] Total IL loss: 1.1713
[Epoch 1 | Batch 399] Total IL loss: 1.0821
[Epoch 1 | Batch 400] Total IL loss: 1.0931
[Epoch 1 | Batch 401] Total IL loss: 1.2354
[Epoch 1 | Batch 402] Total IL loss: 1.1804
[Epoch 1 | Batch 403] Total IL loss: 1.1509
[Epoch 1 | Batch 404] Total IL loss: 1.1339
[Epoch 1 | Batch 405] Total IL loss: 1.1668
[Epoch 1 | Batch 406] Total IL loss: 1.2022
[Epoch 1 | Batch 407] Total IL loss: 1.1997
[Epoch 1 | Batch 408] Total IL loss: 1.1145
[Epoch 1 | Batch 409] Total IL loss: 1.0776
[Epoch 1 | Batch 410] Total IL loss: 0.9996
[Epoch 1 | Batch 411] Total IL loss: 1.2698
[Epoch 1 | Batch 412] Total IL loss: 1.1579
[Epoch 1 | Batch 413] Total IL loss: 1.1980
[Epoch 1 | Batch 414] Total IL loss: 1.1573
[Epoch 1 | Batch 415] Total IL loss: 1.2988
[Epoch 1 | Batch 416] Total IL loss: 1.1235
[Epoch 1 | Batch 417] Total IL loss: 1.0764
[Epoch 1 | Batch 418] Total IL loss: 1.3650
[Epoch 1 | Batch 419] Total IL loss: 1.1138
[Epoch 1 | Batch 420] Total IL loss: 1.1284
[Epoch 1 | Batch 421] Total IL loss: 1.3018
