[Epoch 1 | Batch 417] Total IL loss: 1.1385
[Epoch 1 | Batch 418] Total IL loss: 1.3268
[Epoch 1 | Batch 419] Total IL loss: 1.1247
[Epoch 1 | Batch 420] Total IL loss: 1.2609
[Epoch 1 | Batch 421] Total IL loss: 1.0714
[Epoch 1 | Batch 422] Total IL loss: 1.2446
[Epoch 1 | Batch 423] Total IL loss: 1.2120
[Epoch 1 | Batch 424] Total IL loss: 1.1624
[Epoch 1 | Batch 425] Total IL loss: 1.2172
[Epoch 1 | Batch 426] Total IL loss: 1.2120
[Epoch 1 | Batch 427] Total IL loss: 1.1458
[Epoch 1 | Batch 428] Total IL loss: 1.2567
[Epoch 1 | Batch 429] Total IL loss: 1.1852
[Epoch 1 | Batch 430] Total IL loss: 1.1434
[Epoch 1 | Batch 431] Total IL loss: 1.1757
[Epoch 1 | Batch 432] Total IL loss: 1.1431
[Epoch 1 | Batch 433] Total IL loss: 1.2386
[Epoch 1 | Batch 434] Total IL loss: 1.2077
[Epoch 1 | Batch 435] Total IL loss: 1.2362
[Epoch 1 | Batch 436] Total IL loss: 1.2586
[Epoch 1 | Batch 437] Total IL loss: 1.1482
[Epoch 1 | Batch 438] Total IL loss: 1.2800
[Epoch 1 | Batch 439] Total IL loss: 1.2410
[Epoch 1 | Batch 440] Total IL loss: 1.2118
[Epoch 1 | Batch 441] Total IL loss: 1.1541
[Epoch 1 | Batch 442] Total IL loss: 1.0307
[Epoch 1 | Batch 443] Total IL loss: 1.0171
[Epoch 1 | Batch 444] Total IL loss: 1.1573
[Epoch 1 | Batch 445] Total IL loss: 1.2002
[Epoch 1 | Batch 446] Total IL loss: 1.2098
[Epoch 1 | Batch 447] Total IL loss: 1.0591
[Epoch 1 | Batch 448] Total IL loss: 1.3377
[Epoch 1 | Batch 449] Total IL loss: 1.2022
[Epoch 1 | Batch 450] Total IL loss: 1.1170
[Epoch 1 | Batch 451] Total IL loss: 1.3701
[Epoch 1 | Batch 452] Total IL loss: 1.2920
[Epoch 1 | Batch 453] Total IL loss: 1.0379
[Epoch 1 | Batch 454] Total IL loss: 1.1919
[Epoch 1 | Batch 455] Total IL loss: 1.1526
[Epoch 1 | Batch 456] Total IL loss: 1.2518
[Epoch 1 | Batch 457] Total IL loss: 1.2149
[Epoch 1 | Batch 458] Total IL loss: 1.1919
[Epoch 1 | Batch 459] Total IL loss: 1.1646
